employee_level_id,employee_level_code,employee_level_name,employee_rank_code,employee_rank_name
0,INTERN0,"Intern 0","INTERN","Intern"
1,INTERN1,"Intern 600K","INTERN","Intern"
2,INTERN2,"Intern 2M","INTERN","Intern"
3,INTERN3,"Intern 4M","INTERN","Intern"
4,FRESHER1,"Fresher-","FRESHER","Fresher"
5,FRESHER2,"Fresher","FRESHER","Fresher"
6,FRESHER3,"Fresher+","FRESHER","Fresher"
7,JUNIOR1,"Junior-","JUNIOR","Junior"
8,JUNIOR2,"Junior","JUNIOR","Junior"
9,JUNIOR3,"Junior+","JUNIOR","Junior"
10,MIDDLE1,"Middle-","MIDDLE","Middle"
11,MIDDLE2,"Middle","MIDDLE","Middle"
12,MIDDLE3,"Middle+","MIDDLE","Middle"
13,SENIOR1,"Senior-","SENIOR","Senior"
14,SENIOR2,"Senior","SENIOR","Senior"
15,SENIOR3,"Senior+","SENIOR","Senior"
16,PRINCIPAL,"Principal","SENIOR","Senior"
